2026-05-26 10:40:45.169 | INFO     | agent.nodes.write_file:write_file_node:22 - Wrote /mnt/l/projects/Latai/main.py---
2026-05-26 16:18:12.906 | INFO     | agent.nodes.write_file:write_file_node:22 - Wrote /mnt/l/projects/Latai/test/sum_1_to_1000.py
2026-05-26 16:18:12.915 | INFO     | agent.nodes.executor:execute_code_node:37 - Executing /mnt/l/projects/Latai/test/sum_1_to_1000.py
2026-05-27 16:06:39.887 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:07:32.629 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:15:50.437 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:24:47.031 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:25:16.637 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:26:50.325 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 16:31:24.869 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] langchain_core.language_models.chat_models.BaseChatModel.agenerate_prompt() got multiple values for keyword argument 'tags'"
2026-05-27 19:40:04.441 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779926400000'}, 'provider_name': None}}, 'user_id': 'user_3AYO0nMHH23bwWnGg3fKbxgmM0D'}"
2026-05-27 19:40:33.727 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779926400000'}, 'provider_name': None}}, 'user_id': 'user_3AYO0nMHH23bwWnGg3fKbxgmM0D'}"
2026-05-27 19:53:48.279 | WARNING  | agent.nodes.root_node:root_node:41 - root_node: failed to parse JSON: "[LLM Error] Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779926400000'}, 'provider_name': None}}, 'user_id': 'user_3AYO0nMHH23bwWnGg3fKbxgmM0D'}"
2026-05-30 09:19:10.384 | WARNING  | agent.nodes.root_node:root_node:45 - root_node: failed to parse JSON: '[LLM Error] Connection error.'
